sender,receiver,msg_size,bandwidth_mbps
0,1,1024,8
0,1,4096,34
0,1,16384,136
0,1,65536,506
0,1,262144,1751
0,1,1048576,3390
0,2,1024,0
0,2,4096,3
0,2,16384,15
0,2,65536,60
0,2,262144,233
0,2,1048576,701
0,3,1024,0
0,3,4096,3
0,3,16384,15
0,3,65536,59
0,3,262144,233
0,3,1048576,695
1,0,1024,8
1,0,4096,34
1,0,16384,135
1,0,65536,511
1,0,262144,1764
1,0,1048576,3308
1,2,1024,0
1,2,4096,3
1,2,16384,15
1,2,65536,60
1,2,262144,232
1,2,1048576,746
1,3,1024,0
1,3,4096,3
1,3,16384,15
1,3,65536,59
1,3,262144,230
1,3,1048576,717
2,0,1024,0
2,0,4096,3
2,0,16384,15
2,0,65536,59
2,0,262144,231
2,0,1048576,755
2,1,1024,0
2,1,4096,3
2,1,16384,15
2,1,65536,59
2,1,262144,230
2,1,1048576,729
2,3,1024,8
2,3,4096,33
2,3,16384,135
2,3,65536,508
2,3,262144,1672
2,3,1048576,3244
3,0,1024,0
3,0,4096,3
3,0,16384,15
3,0,65536,59
3,0,262144,231
3,0,1048576,758
3,1,1024,0
3,1,4096,3
3,1,16384,15
3,1,65536,59
3,1,262144,231
3,1,1048576,764
3,2,1024,8
3,2,4096,33
3,2,16384,135
3,2,65536,509
3,2,262144,1716
3,2,1048576,3280
